User_ID,Event_Type,Event_Date,Interaction_Duration,Language_Used,Location,Privacy_Consent,Event_Participation_Freq,Social_Interaction_Freq,Cultural_Engagement_Level,Preferred_Time_of_Activity,Seasonal_Activity_Pattern,Event_Recommendation_Score,Cultural_Content_Suggested,Anonymization_Flag,Data_Owner
U0045,Festival,5/29/2024,1 hour,English,Zone D,Accepted,18,7,High,Evening,No,0.63,Folklore Videos,TRUE,User
U0046,Workshop,1/20/2024,30 minutes,English,Zone B,Pending,5,7,Low,Morning,No,0.43,Regional Cuisine Recipes,TRUE,Platform
U0047,Art Fair,2/2/2024,1 hour,English,Zone B,Pending,7,10,High,Afternoon,No,0.73,Regional Cuisine Recipes,FALSE,User
U0048,Workshop,11/23/2024,30 minutes,Regional Language,Zone D,Pending,12,3,Medium,Morning,No,0.32,Language Learning App,TRUE,User
U0049,Language Class,10/7/2024,30 minutes,English,Zone C,Pending,17,6,High,Afternoon,No,0.27,Regional Cuisine Recipes,FALSE,Platform
U0050,Language Class,2/15/2024,2 hours,Regional Language,Zone A,Accepted,5,4,High,Morning,Yes,0.32,Traditional Music Playlist,FALSE,Platform
U0051,Language Class,3/13/2024,1 hour,Local Dialect,Zone B,Pending,12,4,Medium,Afternoon,Yes,0.94,Folklore Videos,TRUE,User
U0052,Language Class,12/19/2024,2 hours,Local Dialect,Zone C,Pending,19,9,Low,Morning,Yes,0.86,Folklore Videos,TRUE,User
U0053,Art Fair,11/8/2024,30 minutes,Regional Language,Zone B,Pending,13,7,High,Morning,Yes,0.85,Folklore Videos,FALSE,User
U0054,Exhibition,12/8/2024,2 hours,English,Zone D,Pending,16,6,High,Morning,Yes,0.8,Folklore Videos,TRUE,Platform
U0055,Festival,5/12/2024,30 minutes,Local Dialect,Zone B,Accepted,19,9,Medium,Evening,Yes,0.67,Language Learning App,TRUE,Platform
U0056,Language Class,2/24/2024,30 minutes,English,Zone D,Pending,10,3,Low,Afternoon,No,0.19,Folklore Videos,FALSE,User
U0057,Workshop,3/1/2024,30 minutes,English,Zone D,Accepted,12,4,Low,Afternoon,No,0.39,Language Learning App,FALSE,User
U0058,Language Class,12/10/2024,1 hour,Regional Language,Zone D,Accepted,7,9,High,Afternoon,No,0.61,Language Learning App,FALSE,Platform
U0059,Workshop,1/8/2024,1 hour,Local Dialect,Zone A,Pending,14,4,Medium,Evening,Yes,0.2,Traditional Music Playlist,TRUE,Platform
U0060,Workshop,9/28/2024,1 hour,Regional Language,Zone C,Pending,10,7,High,Evening,No,0.13,Regional Cuisine Recipes,TRUE,User
U0061,Language Class,9/2/2024,2 hours,Regional Language,Zone D,Pending,8,9,Medium,Evening,No,0.18,Regional Cuisine Recipes,FALSE,Platform
U0062,Art Fair,6/24/2024,30 minutes,Regional Language,Zone D,Accepted,15,4,Medium,Evening,No,0.2,Language Learning App,TRUE,User
U0063,Workshop,4/25/2024,2 hours,Regional Language,Zone B,Accepted,16,9,High,Morning,No,0.2,Traditional Music Playlist,FALSE,Platform
U0064,Workshop,11/12/2024,2 hours,English,Zone C,Pending,8,7,Medium,Afternoon,Yes,0.27,Folklore Videos,TRUE,User
U0065,Language Class,9/27/2024,30 minutes,Local Dialect,Zone A,Pending,4,4,High,Morning,Yes,0.55,Folklore Videos,FALSE,Platform
U0066,Workshop,7/11/2024,2 hours,Local Dialect,Zone A,Accepted,17,3,Low,Evening,No,0.36,Language Learning App,TRUE,Platform
U0067,Workshop,5/29/2024,30 minutes,Local Dialect,Zone B,Pending,4,6,Low,Evening,No,0.87,Regional Cuisine Recipes,FALSE,User
U0068,Language Class,5/10/2024,30 minutes,English,Zone A,Accepted,11,3,High,Morning,No,0.89,Language Learning App,FALSE,User
U0069,Language Class,4/11/2024,30 minutes,English,Zone B,Accepted,13,7,Low,Afternoon,No,0.93,Traditional Music Playlist,FALSE,Platform
U0070,Festival,11/5/2024,30 minutes,Regional Language,Zone C,Accepted,6,1,Low,Evening,No,0.52,Regional Cuisine Recipes,TRUE,User
U0071,Art Fair,9/26/2024,2 hours,Regional Language,Zone B,Accepted,14,7,Low,Morning,Yes,0.8,Folklore Videos,TRUE,User
U0072,Art Fair,10/18/2024,2 hours,Regional Language,Zone B,Pending,7,3,Low,Morning,No,0.63,Folklore Videos,FALSE,User
U0073,Workshop,7/28/2024,2 hours,Regional Language,Zone D,Pending,12,9,Medium,Morning,No,0.23,Language Learning App,TRUE,User
U0074,Art Fair,12/26/2024,1 hour,Local Dialect,Zone A,Accepted,1,6,High,Morning,Yes,0.67,Traditional Music Playlist,TRUE,User
U0075,Workshop,12/3/2024,2 hours,Regional Language,Zone C,Pending,10,7,High,Afternoon,No,0.85,Traditional Music Playlist,FALSE,Platform
U0076,Festival,3/7/2024,2 hours,English,Zone C,Accepted,1,9,Low,Afternoon,Yes,0.41,Traditional Music Playlist,TRUE,Platform
U0077,Language Class,1/10/2024,1 hour,English,Zone D,Pending,16,6,High,Evening,No,0.77,Traditional Music Playlist,TRUE,User
U0078,Language Class,2/18/2024,30 minutes,English,Zone B,Accepted,7,10,High,Evening,No,0.8,Regional Cuisine Recipes,TRUE,Platform
U0079,Language Class,4/20/2024,30 minutes,Regional Language,Zone C,Pending,20,2,High,Afternoon,No,0.68,Traditional Music Playlist,FALSE,User
U0080,Art Fair,11/16/2024,30 minutes,Local Dialect,Zone C,Pending,6,6,Medium,Afternoon,Yes,0.89,Language Learning App,FALSE,Platform
U0081,Festival,8/6/2024,1 hour,Local Dialect,Zone B,Accepted,18,6,Low,Morning,No,0.23,Traditional Music Playlist,TRUE,Platform
U0082,Art Fair,2/26/2024,2 hours,Regional Language,Zone B,Pending,20,2,High,Morning,No,0.86,Folklore Videos,TRUE,Platform
U0083,Art Fair,10/9/2024,2 hours,Regional Language,Zone C,Accepted,4,7,Medium,Morning,Yes,0.65,Regional Cuisine Recipes,TRUE,User
U0084,Festival,4/22/2024,2 hours,English,Zone B,Pending,16,9,Low,Evening,No,0.87,Regional Cuisine Recipes,TRUE,Platform
U0085,Festival,5/12/2024,2 hours,English,Zone A,Accepted,1,10,Medium,Evening,No,0.58,Language Learning App,FALSE,User
U0086,Festival,3/11/2024,1 hour,Local Dialect,Zone C,Pending,20,4,Medium,Evening,No,0.4,Folklore Videos,TRUE,Platform
U0087,Festival,3/23/2024,2 hours,English,Zone B,Pending,2,5,Medium,Evening,No,0.91,Language Learning App,FALSE,User
U0088,Language Class,2/26/2024,30 minutes,English,Zone C,Accepted,16,6,High,Morning,Yes,0.89,Language Learning App,FALSE,User
U0089,Exhibition,1/10/2025,1 hour,Regional Language,Zone C,Accepted,9,1,Low,Evening,No,0.34,Language Learning App,FALSE,Platform
U0090,Exhibition,12/14/2024,1 hour,Local Dialect,Zone D,Pending,15,8,Low,Evening,No,0.77,Traditional Music Playlist,TRUE,User
U0091,Festival,9/27/2024,30 minutes,Regional Language,Zone A,Pending,16,9,High,Morning,Yes,0.18,Traditional Music Playlist,TRUE,Platform
U0092,Exhibition,4/20/2024,30 minutes,Local Dialect,Zone A,Accepted,9,1,Low,Morning,No,0.18,Traditional Music Playlist,TRUE,Platform
U0093,Exhibition,12/22/2024,2 hours,Regional Language,Zone D,Accepted,7,4,Low,Afternoon,Yes,0.56,Language Learning App,FALSE,Platform
U0094,Festival,1/9/2025,30 minutes,Local Dialect,Zone D,Accepted,10,6,Medium,Morning,No,0.13,Language Learning App,TRUE,User
U0095,Exhibition,3/16/2024,1 hour,English,Zone C,Accepted,7,10,High,Evening,Yes,0.49,Language Learning App,FALSE,User
U0096,Art Fair,6/6/2024,1 hour,Local Dialect,Zone A,Pending,13,1,Medium,Morning,Yes,0.81,Traditional Music Playlist,TRUE,User
U0097,Workshop,1/20/2024,1 hour,Local Dialect,Zone D,Pending,2,3,Low,Evening,Yes,0.9,Traditional Music Playlist,TRUE,User
U0098,Workshop,2/24/2025,2 hours,Regional Language,Zone B,Pending,12,7,Low,Afternoon,Yes,0.33,Language Learning App,TRUE,User
U0099,Festival,5/10/2024,2 hours,Local Dialect,Zone C,Pending,13,8,High,Afternoon,Yes,0.17,Language Learning App,FALSE,Platform
U0100,Language Class,11/24/2024,30 minutes,Local Dialect,Zone A,Pending,3,8,Medium,Afternoon,Yes,0.67,Traditional Music Playlist,FALSE,Platform
U0101,Festival,5/1/2024,2 hours,Local Dialect,Zone C,Pending,11,5,Medium,Evening,Yes,0.34,Language Learning App,TRUE,Platform
U0102,Language Class,2/10/2024,2 hours,Regional Language,Zone C,Accepted,8,1,Medium,Evening,Yes,0.12,Traditional Music Playlist,TRUE,User
U0103,Workshop,6/15/2024,1 hour,Local Dialect,Zone B,Pending,11,1,High,Afternoon,No,0.22,Traditional Music Playlist,TRUE,Platform
U0104,Festival,2/13/2025,1 hour,Regional Language,Zone B,Accepted,18,8,Medium,Afternoon,Yes,0.94,Language Learning App,FALSE,Platform
U0105,Art Fair,5/9/2024,30 minutes,English,Zone D,Accepted,7,5,Medium,Evening,Yes,0.89,Language Learning App,TRUE,Platform
U0106,Exhibition,1/23/2024,1 hour,Regional Language,Zone B,Accepted,12,9,Low,Evening,No,0.85,Language Learning App,TRUE,User
U0107,Language Class,10/5/2024,2 hours,Local Dialect,Zone A,Accepted,6,1,Low,Evening,No,0.41,Folklore Videos,FALSE,User
U0108,Exhibition,9/7/2024,30 minutes,English,Zone D,Pending,10,2,Medium,Evening,Yes,0.74,Folklore Videos,FALSE,User
U0109,Exhibition,2/3/2025,30 minutes,Local Dialect,Zone A,Accepted,20,4,Medium,Afternoon,No,0.96,Folklore Videos,FALSE,User
U0110,Festival,1/9/2024,1 hour,Regional Language,Zone A,Accepted,15,10,Low,Afternoon,Yes,0.61,Regional Cuisine Recipes,TRUE,User
U0111,Exhibition,1/13/2024,1 hour,English,Zone D,Pending,20,7,High,Morning,Yes,0.4,Regional Cuisine Recipes,FALSE,User
U0112,Art Fair,2/15/2025,1 hour,English,Zone B,Accepted,15,4,Low,Morning,No,0.82,Folklore Videos,FALSE,User
U0113,Exhibition,2/14/2025,30 minutes,English,Zone C,Accepted,19,8,Medium,Evening,No,0.49,Language Learning App,FALSE,User
U0114,Festival,11/2/2024,1 hour,Local Dialect,Zone B,Pending,6,7,High,Afternoon,Yes,0.62,Folklore Videos,FALSE,Platform
U0115,Art Fair,11/15/2024,2 hours,English,Zone A,Accepted,19,5,Medium,Evening,No,0.59,Regional Cuisine Recipes,TRUE,Platform
U0116,Workshop,2/21/2024,30 minutes,English,Zone A,Pending,15,7,Medium,Morning,No,0.3,Traditional Music Playlist,FALSE,User
U0117,Exhibition,7/27/2024,1 hour,English,Zone D,Pending,20,8,Medium,Evening,Yes,0.1,Folklore Videos,FALSE,Platform
U0118,Festival,2/7/2024,2 hours,English,Zone A,Pending,20,3,High,Morning,Yes,1,Traditional Music Playlist,TRUE,Platform
U0119,Workshop,4/9/2024,2 hours,Regional Language,Zone D,Pending,18,3,Medium,Morning,No,0.48,Traditional Music Playlist,TRUE,Platform
U0120,Workshop,7/11/2024,1 hour,Local Dialect,Zone D,Pending,2,2,High,Afternoon,No,0.36,Folklore Videos,FALSE,Platform
U0121,Language Class,2/5/2025,2 hours,Local Dialect,Zone B,Accepted,7,4,Low,Evening,Yes,0.79,Traditional Music Playlist,FALSE,Platform
U0122,Art Fair,7/9/2024,30 minutes,English,Zone A,Pending,5,4,High,Afternoon,Yes,0.63,Traditional Music Playlist,FALSE,Platform
U0123,Exhibition,2/20/2024,30 minutes,Regional Language,Zone B,Pending,3,4,Medium,Morning,No,0.89,Folklore Videos,TRUE,Platform
U0124,Festival,1/27/2025,2 hours,English,Zone C,Pending,6,2,Medium,Morning,No,0.8,Folklore Videos,TRUE,Platform
U0125,Language Class,5/20/2024,30 minutes,Local Dialect,Zone B,Pending,6,7,Low,Evening,Yes,0.35,Traditional Music Playlist,TRUE,Platform
U0126,Art Fair,6/16/2024,1 hour,Local Dialect,Zone A,Pending,1,10,Low,Evening,No,0.63,Traditional Music Playlist,TRUE,Platform
U0127,Language Class,11/6/2024,2 hours,Local Dialect,Zone C,Accepted,19,3,Low,Evening,Yes,0.55,Traditional Music Playlist,TRUE,User
U0128,Art Fair,4/18/2024,30 minutes,English,Zone A,Accepted,12,10,High,Evening,No,0.96,Regional Cuisine Recipes,TRUE,User
U0129,Art Fair,7/25/2024,1 hour,English,Zone C,Pending,5,1,High,Morning,No,0.32,Regional Cuisine Recipes,FALSE,Platform
U0130,Exhibition,3/2/2025,1 hour,Regional Language,Zone A,Accepted,7,2,High,Morning,No,0.36,Language Learning App,TRUE,Platform
U0131,Art Fair,10/26/2024,30 minutes,Regional Language,Zone B,Pending,20,5,High,Morning,Yes,0.93,Folklore Videos,TRUE,User
U0132,Language Class,4/19/2024,2 hours,Local Dialect,Zone A,Pending,8,9,Low,Afternoon,Yes,0.51,Traditional Music Playlist,FALSE,User
U0133,Art Fair,7/14/2024,1 hour,Local Dialect,Zone D,Pending,19,4,Medium,Afternoon,No,0.51,Traditional Music Playlist,FALSE,User
U0134,Exhibition,2/20/2025,1 hour,Regional Language,Zone D,Accepted,6,6,Medium,Afternoon,No,0.88,Traditional Music Playlist,TRUE,User
U0135,Exhibition,5/31/2024,1 hour,Local Dialect,Zone B,Pending,15,3,High,Evening,Yes,0.37,Regional Cuisine Recipes,FALSE,User
U0136,Language Class,2/23/2025,1 hour,Regional Language,Zone B,Pending,6,9,Low,Morning,No,0.73,Folklore Videos,TRUE,User
U0137,Workshop,8/30/2024,2 hours,English,Zone C,Accepted,9,2,Low,Afternoon,Yes,0.75,Language Learning App,FALSE,User
U0138,Workshop,5/7/2024,30 minutes,Local Dialect,Zone B,Pending,4,8,Low,Evening,Yes,0.5,Regional Cuisine Recipes,FALSE,Platform
U0139,Art Fair,4/14/2024,30 minutes,Local Dialect,Zone D,Accepted,16,3,Medium,Evening,No,0.4,Folklore Videos,TRUE,User
U0140,Festival,1/10/2024,30 minutes,Regional Language,Zone B,Accepted,10,8,Medium,Evening,Yes,0.77,Traditional Music Playlist,TRUE,Platform
U0141,Art Fair,12/21/2024,1 hour,English,Zone D,Pending,1,3,High,Morning,Yes,0.33,Folklore Videos,TRUE,User
U0142,Language Class,5/27/2024,2 hours,Local Dialect,Zone B,Accepted,11,4,Medium,Evening,No,0.84,Regional Cuisine Recipes,TRUE,Platform
U0143,Language Class,12/30/2024,30 minutes,Local Dialect,Zone D,Pending,17,8,Low,Afternoon,No,0.47,Regional Cuisine Recipes,TRUE,User
U0144,Language Class,12/29/2024,2 hours,Regional Language,Zone C,Accepted,18,10,Medium,Evening,No,0.12,Regional Cuisine Recipes,TRUE,Platform
U0145,Language Class,5/19/2024,30 minutes,English,Zone A,Accepted,20,4,Medium,Morning,No,0.61,Regional Cuisine Recipes,TRUE,Platform
U0146,Language Class,7/8/2024,1 hour,Regional Language,Zone A,Accepted,20,9,Medium,Morning,No,0.27,Traditional Music Playlist,FALSE,Platform
U0147,Exhibition,2/5/2025,30 minutes,English,Zone D,Pending,15,9,High,Evening,No,0.52,Traditional Music Playlist,TRUE,Platform
U0148,Workshop,4/3/2024,1 hour,English,Zone B,Accepted,6,6,Medium,Morning,No,0.83,Regional Cuisine Recipes,TRUE,User
U0149,Language Class,8/16/2024,1 hour,Regional Language,Zone B,Pending,16,1,High,Morning,No,0.27,Traditional Music Playlist,TRUE,User
U0150,Festival,3/3/2024,30 minutes,Regional Language,Zone A,Pending,2,9,Medium,Afternoon,No,0.29,Regional Cuisine Recipes,FALSE,User
U0151,Festival,12/5/2024,2 hours,English,Zone D,Pending,3,9,High,Afternoon,Yes,0.53,Language Learning App,TRUE,User
U0152,Festival,1/25/2024,1 hour,Regional Language,Zone B,Accepted,17,7,Low,Evening,Yes,0.53,Folklore Videos,TRUE,Platform
U0153,Festival,9/24/2024,2 hours,Local Dialect,Zone A,Accepted,8,9,Low,Morning,Yes,0.51,Language Learning App,FALSE,User
U0154,Exhibition,2/8/2025,30 minutes,Local Dialect,Zone D,Pending,20,8,Low,Morning,No,0.73,Traditional Music Playlist,TRUE,User
U0155,Festival,10/7/2024,1 hour,Local Dialect,Zone C,Pending,15,9,High,Morning,Yes,0.34,Traditional Music Playlist,FALSE,User
U0156,Language Class,1/11/2024,2 hours,Local Dialect,Zone B,Pending,13,9,Low,Afternoon,No,0.33,Folklore Videos,TRUE,Platform
U0157,Art Fair,11/15/2024,1 hour,Local Dialect,Zone B,Pending,19,7,High,Morning,Yes,0.12,Traditional Music Playlist,TRUE,User
U0158,Festival,7/19/2024,30 minutes,Regional Language,Zone D,Pending,1,6,High,Afternoon,Yes,0.44,Regional Cuisine Recipes,FALSE,User
U0159,Exhibition,5/5/2024,1 hour,English,Zone A,Pending,12,2,High,Morning,Yes,0.28,Folklore Videos,TRUE,User
U0160,Exhibition,11/1/2024,30 minutes,Regional Language,Zone D,Accepted,18,7,Low,Afternoon,No,0.63,Language Learning App,FALSE,User
U0161,Festival,7/8/2024,2 hours,Local Dialect,Zone A,Pending,18,1,High,Evening,No,0.26,Language Learning App,TRUE,User
U0162,Art Fair,3/29/2024,1 hour,Local Dialect,Zone D,Pending,3,6,Medium,Evening,Yes,0.91,Traditional Music Playlist,FALSE,User
U0163,Festival,12/20/2024,2 hours,Regional Language,Zone C,Pending,18,6,Low,Morning,No,0.86,Language Learning App,FALSE,User
U0164,Exhibition,4/25/2024,30 minutes,Regional Language,Zone B,Pending,17,7,Medium,Morning,No,0.79,Traditional Music Playlist,TRUE,Platform
U0165,Workshop,12/17/2024,30 minutes,English,Zone A,Accepted,11,2,Low,Afternoon,No,0.83,Traditional Music Playlist,FALSE,User
U0166,Language Class,6/25/2024,2 hours,Local Dialect,Zone C,Accepted,5,4,High,Afternoon,No,0.96,Language Learning App,FALSE,Platform
U0167,Exhibition,1/14/2024,2 hours,Regional Language,Zone D,Pending,7,2,High,Afternoon,Yes,0.39,Language Learning App,TRUE,Platform
U0168,Festival,9/13/2024,30 minutes,English,Zone A,Pending,18,4,High,Morning,Yes,0.98,Regional Cuisine Recipes,TRUE,Platform
U0169,Language Class,7/27/2024,2 hours,Local Dialect,Zone A,Pending,7,3,Low,Afternoon,No,0.9,Traditional Music Playlist,TRUE,Platform
U0170,Festival,10/7/2024,30 minutes,Local Dialect,Zone C,Accepted,18,2,Low,Morning,No,0.43,Regional Cuisine Recipes,FALSE,Platform
U0171,Festival,3/18/2025,2 hours,Local Dialect,Zone D,Accepted,2,2,High,Afternoon,No,0.88,Regional Cuisine Recipes,FALSE,Platform
U0172,Workshop,11/23/2024,30 minutes,Regional Language,Zone C,Accepted,6,3,Low,Morning,Yes,0.91,Folklore Videos,FALSE,Platform
U0173,Language Class,11/20/2024,30 minutes,Local Dialect,Zone D,Pending,8,10,Medium,Afternoon,Yes,0.13,Language Learning App,TRUE,User
U0174,Language Class,1/23/2025,1 hour,Local Dialect,Zone C,Accepted,17,4,High,Afternoon,No,0.89,Language Learning App,TRUE,Platform
U0175,Workshop,4/14/2024,30 minutes,English,Zone C,Pending,4,7,Medium,Afternoon,Yes,0.49,Language Learning App,FALSE,Platform
U0176,Exhibition,5/26/2024,30 minutes,Regional Language,Zone C,Pending,17,4,Medium,Morning,No,0.83,Regional Cuisine Recipes,FALSE,Platform
U0177,Festival,10/5/2024,1 hour,English,Zone C,Pending,16,7,Low,Evening,No,0.2,Folklore Videos,FALSE,Platform
U0178,Art Fair,1/9/2024,1 hour,Regional Language,Zone D,Pending,15,4,Medium,Evening,No,0.25,Language Learning App,FALSE,Platform
U0179,Festival,4/27/2024,2 hours,Local Dialect,Zone B,Pending,15,3,High,Morning,No,0.98,Language Learning App,FALSE,User
U0180,Festival,4/3/2024,2 hours,English,Zone C,Accepted,8,8,Medium,Morning,No,0.47,Folklore Videos,TRUE,User
U0181,Exhibition,3/9/2025,30 minutes,Regional Language,Zone D,Accepted,17,3,Low,Evening,Yes,0.82,Traditional Music Playlist,TRUE,User
U0182,Festival,5/23/2024,2 hours,Regional Language,Zone B,Accepted,19,8,Low,Evening,Yes,0.78,Folklore Videos,TRUE,User
U0183,Workshop,10/15/2024,2 hours,Local Dialect,Zone A,Pending,1,2,High,Afternoon,Yes,0.81,Folklore Videos,TRUE,Platform
U0184,Workshop,1/20/2025,30 minutes,Local Dialect,Zone A,Accepted,13,3,High,Afternoon,Yes,0.79,Language Learning App,TRUE,User
U0185,Language Class,1/14/2024,1 hour,English,Zone C,Pending,6,4,High,Morning,Yes,0.92,Traditional Music Playlist,TRUE,User
U0186,Art Fair,9/13/2024,1 hour,English,Zone A,Pending,10,3,High,Evening,No,0.63,Regional Cuisine Recipes,TRUE,User
U0187,Festival,12/11/2024,30 minutes,Regional Language,Zone C,Pending,1,6,High,Evening,Yes,0.48,Traditional Music Playlist,TRUE,Platform
U0188,Festival,7/4/2024,30 minutes,English,Zone C,Accepted,12,9,Medium,Morning,No,0.93,Language Learning App,FALSE,Platform
